Four Digit,Previous Edition,Current Year,Course (Shaded by author), 2025 Pages ," Fl, PC, Em, H pgf ",NOTES, Santucci Title: ,CFP,CPA, EA OTRP , ERPA , CDFA ,CIMA CPWA RMA,IAR,IAR #,$ PDF or Exam Only,$ Print,$ per PDF CPE,Annual Update (Launch),Exam Changes?,Subs Updates, CFP Board # , EA # , ERPA # ,CFP CE  Calc,CPA CPE Calc,CFP Words,CPA words,Rev Q,Exam Q,Min. No. Exam Q,IAR Words,IAR Q,CFP  Subj,CPA  Subj,TX Subject Code,Previous CFP Cr ,Previous CPA Cr , Previous EA OTRP ERP Cr  , Previous CDFA Cr  , Notes ,Notes, ,,,,,,,,
4916,491624,491625,Tax Guide to Bankruptcy ,,,, BANK ,, 2.0 , 2.0 ,,,,,,25,37,19,3/5/25,No,,na,FWKK0-T-00668-25-S,na,1.80, 2.39 ," 16,223 "," 14,849 ",10,10,2,,,T,Taxes,03,,,,,,,,,,,,,,,
4935,493524,493525,Tax Guide to Business Expenses,, F ,, BUSEXP , - , 2.0 , 2.0 ,,,,,,25,37,19,2/7/25,No,,na,FWKK0-T-00661-25-S,na,   , 2.65 ,   ," 17,225 ",10,10,2,,,T,Taxes,03,,,,,,4/2/21: Updated to incorporate covid tax legislation (no change to exam).,,,,,,,,,
4904,490424,490425,Tax Guide to Compensation & Benefits,, F ,, COMP , 2.0 , 3.5 , 3.0 ,,,,2,C27794,39, 51 ,15,7/18/25,Yes,,195445,FWKK0-T-00665-25-S,na,2.50, 3.59 ," 22,467 "," 18,959 ",20,20,4,24196,30,T,Taxes,03,,,,,,2/5/21: Switched to COMP from CASHOUT. 3/15/19: exam reduced to 15 q. ,,,,,,,,,
4913,491324,491325,Tax Guide to Education Planning ,,,, EDUCATE ,   , 2.0 , 2.0 ,,,,,,25,37,19,3/5/2025,No,,na,FWKK0-T-00667-25-S,na,   , 2.44 ," 18,052 "," 15,323 ",10,10,2,,,T,Taxes,03,,,,,,"1/12/21: Exam q 9 a chged to ""age 23 or less"" 3/15/19: exam reduced to ten q",,,,,,,,,
4934,493424,493425,Tax Guide to Estate Planning,, F ,   , ITS95 , - , 2.0 , 2.0 ,,,,,,25,37,19,3/3/25,No,,na,FWKK0-T-00672-25-S,na,1.89, 2.37 ," 17,003 "," 14,629 ",10,10,2,,,T,Taxes,03,,,,,,"5/2/19-Minor author edits. 1/1/19 : Increased CFP Cr, same Exam. 3/11/18-inflation adjustment changes added.",,,,,,,,,
4931,493124,493125,Tax Guide to Partnerships,,,, PARTNER , - , 2.0 , 2.0 ,,,,,,25,37,19,3/6/25,No,,na,FWKK0-T-00671-25-S,na, -  , 2.68 ,," 17,469 ",10,10,2,,,T,Taxes,03,,,,,,6/24/22 Edit Q 5 exam (author),,,,,,,,,
4909,490924,490925,Tax Guide to Retirement Planning  ,, F ,, Fasttrack ,   , 2.5 , 2.0 , 2.0 ,,,,,29, 41 ,16,1/10/25,No,,na,FWKK0-T-00658-25-S,FWKK0-Q-00659-25-S,   , 2.94 ," 20,256 "," 16,461 ",15,15,3,,,T,Taxes,03,,,,,,2/10/20: updated per author 2/5/20 update. Tsxt only.3/13/19: reduced exam to 15 Q. 3/11/18-inflation adjustment changes added.   ,,,,,,,,,
4932,493224,493225,Tax Guide to S Corporations,, F ,, SCORP ,   , 2.5 , 2.0 ,,,,,,29, 41 ,16,3/6/25,yes,,na,FWKK0-T-00675-25-S,na,   , 2.91 ," 14,956 "," 16,207 ",15,15,3,,,T,Taxes,03,,,,, , , ,,,,,,,,
5902,590224,590225,Ethics for Accountants 2 CPE ,,,,,,2,,,,,,,,,,1/1/25,No,,na,,,,,,,,,,,,,,,,,,,,7/27/23: launched for purpose of getting reviewed (Okun).,,,,,,,,,
5904,590424,590425,Ethics for Accountants 4 CPE                    ,,,,,,4,,,,,,,39,49,,1/1/25,No,,na,,,,,,,,,,,,,,,,,,,,"2021 edition for ""generic"" states, including South Carolina where both a 2-hour state specific course and a four hour generic course are required. 2018 edition launched to satisfy SC requirement for 2 hrs state specific plus additional 4 hours in generic professional.",,,,,,,,,
5905,590524,590525,Ethics for Accountants Alabama,,,,,,2,,,,,,,29,,,2/8/25,590225,,na,,,,,,,,,,,,,,,,,,,,Based on 5902,,,,,,,,,
5906,590622,590625,Ethics for Accountants: Alaska ,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"Generic ethics requirement, see Rules. Rules PDF dated 8.2020.",,,,,,,,,
5907,590724,590725,Ethics for Accountants  Arizona,,,, exam 70% ,,4,,,,,,,39,49,,12/5/24,Yes,,na,,,,,,29257,12,,,,,,,,,,,,"2/11/24: Q 4 answer is B, other exams checked, all were correct.","See 2/23/21: minor updates to sections 453, 454, 455. 10/2020: Ethics Update Checklist 2021 for changes.",,,,,,,,,
5908,590821,590825,Ethics for Accountants Arkansas,,,,,,3,,,,,,,39,49,,2/16/25,Copy,,na,,,,,,,,,,,,,,,,,,,,"Exam has AZ questions 2016 update to include 2015 5904 edits: Q 3, 11, 14, 15, 18, 20    6/7/16: edits to pp 23, 27, 33DF: Regs and 5904 update for 2017. ",,,,,,,,,
5909,590924,590925,Ethics for Accountants California ,,,,,,4,,,,,,,39,49,,2/13/25,No,,na,,,,,,,,,,,,,,,,,,,,"7/20/17: Updated with 590417 changes, used 590417 Section I and II and rev q. State regs taken separately from BOA website.7-13-16 5904 2016 edits done. Ready for PDF. No state regs included as licensees must take a state course from the boa.7/20/17: Updaterd for 5904 content - did not check BOA rules ",,,,,,,,,
5911,591124,591125,Ethics for Accountants: Connecticut  ,,,,,,4,,,,,,,39,49,,2/14/25,590425,,na,,,,,,,,,,,,,,,,,,,,2017: Updated with 590417 and ct edits 2017 as of  6/29/16,,,,,,,,,
5912,591224,591225,Ethics for Accountants: Delaware,,,Renews 6/30/27 2 Yrs, exam 70% ,,4,,,,,,,39,49,,11/20/24,Copy,,na,,,,,,,,,,,,,,,,,,,,7/17/23 Approved and launched expires 6/30/2025. 4/1/2021: edited Q 4 re CPE requirement. Review copy to Board 8/3/16; Request for revisions recd 10/20/16;and December. Finally approved after new Regs were posted and new Ethics course checklist was issued.,,,,,,,,,
5913,591324,591325,Ethics for Accountants: Distict of Columbia,,,,,,4,,,,,,,39,49,,2/14/25,590425,,na,,,,,,,,,,,,,,,,,,,," 7/24/20: edited Q 10. Also corrected that online Q and Word/PDF/Board review exams had question answer order different. Exam had 43% fail rate prior to change.7/19/17: 5904 updated, DC rules unchanged.9/7/16: added DC Code of Prof cond with cross links.",,,,,,,,,
5915,591524,591525,Ethics for Accountants: Hawaii,,,Renew 12/31/25 for 2 yrs,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/20/17: 590417 updated 9/9/16: added HI Rules of Conduct with Cross Refs.   Aproved provider list on HBOA site through Dec 2016 (annual) HBOA listing says ""2016-2017""",,,,,,,,,
5916,591624,591625,Ethics for Accountants: Idaho,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/20/17: 590417 update, no chags ti ID rules  9/8/16: added ID Rules of Prof Conduct to Appendix with cross refs.",,,,,,,,,
5917,591724,591725,Ethics for Accountants: Illinois,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,7/18/17: 2017 updated 5904. Ill unchanged.6/6/16: Illinois Code of Conduct discontinued and replaced by Unprofessional Conduct,,,,,,,,,
5918,591824,591825,Ethics for Accountants: Indiana,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5919,591924,591925,Ethics for Accountants: Iowa,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,7/20/17-590417 updates - no chg to state rules.,,,,,,,,,
5920,592024,592025,Ethics for Accountants: Kansas,,,,,,2,,,,,,,29,39,,2/9/25,590225,,na,,,,,,,,,,,,,,,,,,,,"7/25/2017: 5902 updates, no chgs to state code. 8/12/16: STATE CODE OF PRO COND ADDED WITH CROSS REFS.",,,,,,,,,
5921,592124,592125,Ethics for Accountants: Kentucky,,,,,,2,,,,,,,29,39,,2/9/25,590225,,na,,,,,,,,,,,,,,,,,,,,"7/25/2017: 590217 updates, no chg to state rules of conduct.  8/22/16: KY Rules of Pr Conduct added, with links to AICPA Rules.",,,,,,,,,
5922,592222,592224,Ethics for Louisiana CPAs  ,,90%,Expired 12/31/24, EXAM: 90% ,,3,,,,,,,39,49,,2/14/24,Copy,,na,,,,,,,,,,,,,,,,,,,,8/31/23: Exam grade required 90%: was changed summer 2023 to 70 % then back. No known exams completed during 70% period.,,,,,,,,,
5923,592324,592325,Ethics for Accountants: Maine,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/20/17: 590417 updates,590417 update, no change to state regs.  8/9/16-sent to Bragg although he might already carry it from another provider. Has corrected case on page 34.",,,,,,,,,
5924,592424,592425,Ethics for Accountants: Maryland,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/14/17: 590417 update, no change to state regs. Updated with 2016 edits thru 6/7/16  Has cross refs to AICPA",,,,,,,,,
5925,592524,592525,Ethics for Accountants: Massachusetts,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,Updated with 2017 edits thru 6/29/17,,,,,,,,,
5926,592624,592625,Ethics for Accountants: Michigan,,,,,,2,,,,,,,29,39,,2/9/25,590225,,na,,,, 7.9 ,,50088,24,40,,,,,,,,,,,,"8/1/17: Updated per 590417, added administrative rules to code statutes. no MI rules/code needed updating.  8/12/16: state regs added to appendix with cvross refs 2/13/17: Checked for updates, one change to fees (h). Bragg given updated version.",,,,,,,,,
5927,592724,592725,Ethics for Accountants: Minnesota,,,, exam 70% ,,8,,,,,,,44,,,11/21/23,Yes,,na,,,, 4.2 ,,26881,12,20,,,,,,,,,,,,,,,,,,,,,
5928,592824,592825,Ethics for Accountants: Mississippi 2025-2028  ,,,Renews 6/30/27, exam 70% ,,4,,,,,,,35,,,11/22/24,Yes,,na,,,, 6.5 ,,42624,18,30,,,,,,,,,,,," 9/29/21 Updates to Rules and Regs. 5/4/17: Rules updated per 9/16/16 modified rules and regs. 5/17/16, App, course, exam, cert, bio emailed to Lane mcNealy MS Board. Approved June 3, 2016 2013-2016 ed inactiveas of 5/4/17.",,,,,,,,,
5929,592924,592925,Ethics for Accountants: Missouri  ,,,,,,2,,,,,,,29,39,,2/10/24,590225,,na,,,,,,,6,10,,,,,,,,,,,,11/17/20: updated with new 5902 changes. Had also updated MOP section in 9/15/20 when course was cut to 2 CPE. No changes in regs as of 11/17/20.,,,,,,,,,
5930,593024,593025,Ethics for Accountants: Montana,,,,,,2,,,,,,,39,49,,1/1/24,Copy,,na,,,,,,,,,,,,,,,,,,,,"4/26/18: Rules of Prof Conduct repealed, except for Records.12/28/16: MT Admin Regs Added to Section V. Copy sent to Bragg.",,,,,,,,,
5931,593124,593125,Ethics for Accountants: Nebraska,,,,,,4,,,,,,,39,49,,1/1/24,Copy,,na,,,,,,,,,,,,,,,,,,,,"7/21/17: 590417 update, no change to state regs.",,,,,,,,,
5932,593224,593225,Ethics for Accountants: Nevada,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/21/17: 590417 update, no change to state regs. 8/23/16: NV Standards of Practice added, no cross links.",,,,,,,,,
5933,593324,593325,Ethics for Accountants: New Hampshire,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/21/17: 590417 update, no change to state regs",,,,,,,,,
5934,593424,593425,Ethics for Accountants: North Carolina ,,,,,,1,,,,,,,19,25,,2/17/25,Copy,,na,,,,,,,,,,,,,,,,,,,,11/17/21: Credit reduced from 2 to 1 effective Oct 2020 but did not change course until 2022 edition. 7/6/17: Updated for 590217 and NC amended ethics rules effective 5/1/17. 7/26/16: NC BOA regs updated per 2/2016 changes doc.,,,,,,,,,
5935,593524,593525,Ethics for Accountants: New Mexico,,,,,,4,,,,,,,35,45,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/24/17: 590417 updated, state rules unchanged.",,,,,,,,,
5936,593624,593625,Ethics for Accountants: New York  ,,,Renews 8/31/27 3 Yrs, exam 70% ,,4,,,,,,,35,,,11/25/24,Edits,,na,,,,,,,,,,,,,,,,,,,,"7/2020: mid year updated of rules. 4/11/18: updates to 29 and 70. 8/23/17: exam q 11 edited. Updated per 590417 updates, added some text boxes, ",,,,,,,,,
5937,593724,593725,Ethics for Accountants: New York/Tax Concentration ,,,Renews 8/31/27 3 Yrs, exam 70% ,,4,,,,,,,35,,,11/26/24,Edits,,na,,,, 2.1 ,,13930,6,10,,,,,,,,,,,,"11/23/20: cut about 3,000 words and two rev q to brin cpe down to 4.2 7/2020: mid year updated of rules. 4/11/18: updates to 29 and 70.  8/23/17: exam q 11 edited. Updated section I, II,. SSTS and 230 were OK-Used 593617 NY section. Adjusted learning Obj and Review Q and Answer as needed.",,,,,,,,,
5938,593824,593825,Ethics for Accountants: North Dakota ,,,, exam 70% ,,6,,,,,,,40,,,12/6/24,Copy,,na,,,,,,,,,,,,,,,,,,,,Several new review questions and exam questions created.,,,,,,,,,
5939,593924-2,593925,Ethics for Accountants: Ohio Professional Standards and Responsibilities,,,Renews 5/31/26 1 Yr, exam 70% ,,3,,,,,,,39,49,,11/27/24,Copy,,na,,,,,,,,15,,,,,,,,,,,,"2024 Spons and Cours3e approved 5/14/24 and launched.4/10/2023: 2023-2024 edition approved and launched as No 593923-2.DISTRIBUTED to Lambers and CPE world. 6/9/22: Updated  for newly finalized amended rules 4707-7-01 and 4701-11-07. Copies sent to Lambers and CPEWorld. 5/6/21: Updted per 10/6/email from OH various rule changes - see written notes. CPE World sent changes. Next renewal: 5/31/22 Submit in April, then launch when approved..",,,,,,,,,
5940,594024,594025,Ethics for Accountants: Oklahoma,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,7/18/17: 590417 update. 3/30/2016: OK Code of Conduct added with cross refs. Updated with edits 6/8/16,,,,,,,,,
5941,594124,594125,Ethics for Accountants: Oregon,,,R and R course no longer required-2024,,,4,,,,,,,39,49,,2/16/25,590425,,,,,,,,,,,,,,,,,,,,,,3/5/24: OR Board changed requirement to generic ethics Vs OR specific. Inactivated 596124 as it needed updating.,,,,,,,,,
5942,594224,594225,Ethics for Accountants: Pennsylvania,,,Renews 12/31/25,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,, 6.1 ,,38963,18,30,,,,,,,,,,,,Has cross refs to AICPA,,,,,,,,,
5943,594324,594325,Ethics for Accountants: Rhode Island,,,Go Generic for 2026 (4 + 2 CPE), exam 70% ,,6,,,,,,,40,,,11/29/25,Copy,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5944,594424,594425,Ethics for Accountants South Carolina,,,Max 12 cpe for SS, exam 70% ,,2,,,,,,,29,39,,2/8/25,590225,,na,,,,,,,,,,,,,,,,,,,,"3/6/23: SC now allows generic 2 hr course required annually. NASBA Ct for Pub Trust Edition good thru 12/31/21. SC CPAs also need 4 hours in ""other ethics topics"" see 5904. ",,,,,,,,,
5946,594624,594624,Tennessee State Specific Ethics Course,,,Expires 4/30/25 1 Yr, exam 70% ,,2,,,,,,,39,3/4/24,,2024,1 question,,na,,,,,,,,,,,,,,,,,,,,"11/2/23: Exam Q 1 correct answer is B not D. 12/28/22: added online search isntructions to Index page on handout. 10/12/2021: updated slide eleven picture only per tscpa. 2021 edition voic over by Marcy Binkley. She gives us a PPT and we export it to video. 4/24/18: launcehd TSCPA on demand video course. 9/26/16: Minor updates of rules, noted in Endnotes.10/24/16: G Williams edits done Glossary .02(h), .09(b) fixed.",,,,,,,,,
5947,594720,594721,A CPA's Guidebook to Ethical Behavior-TX ,,,, exam 70% ,,4,,,,,,,35,,,1/1/23,Copy,,na,,,,,,15976,12,20,,,,,,,,,,,,"3/9/22: never rec'd 2021 edition from May 21. Updated on 3/9/22.4/4/18: launched under new author, Mcleod. ",,,,,,,,,
5948,594820,594822,Ethics & Prof.Conduct for TX CPAs ,,,, exam 70% ,,4,,,,,,,39,49,,1/1/23,Copy,,na,,,,,,,,,,,,,,,,,,,,"4/12/19-Q4: changed from ""offered to paid""per an earlier change made bu us that we did not carry forward to 2019 ed. 11/26/18: Question 15 was not updated for 2018 correctly. The original answer was D it is now A with anwer choices also changed. Fixed. 6/2/16: author's addition of para at end of text before last review questions. 12/1/16-correct answer for #16 is A, not B",,,,,,,,,
5949,594924,594925,Ethics for Accountants: Vermont ,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5950,595024,595025,Ethics for Accountants: Virginia   2025,,,Expires 1/31/26 1 Yr, exam 70% ,,2,,,,,,,29,,,2/7/25,New,,na,,,,,,,32716,12,,,,,,,,,,,,"5/15/25: Answer key correction #5.Launched 2/1/22 checked all links, eval, and segment and exam.",,,,,,,,,
5951,595124,595125,Ethics for Washington CPAs  2025,,,Expires 12/31/25 1 Yr, exam 70% ,,4,,,,,,,39,49,,1/1/25,New,,na,,,,,,,,,,,,,,,,,,,,"4/7/23: added BOA 4/1/23 updates.12/28/20: Q edited and posted and sent to Lambers and CPE World (on 1/6/21).: Licensees whose reporting period ends 12/31/2020 can take the 2020-2021 course as well as those whose reporting period ends 12/31/2021,7/5/18: updated per changed board contact info. (para 026) Steve Brqagg sent also - word and PDFs updated and posted.  2018 ed approved through 12/31/18. 2017 edition approved for period 12/8/16 thru 12/31/17 per WBOA",,,,,,,,,
5953,595324,595325,Ethics for Accountants West Virgina,,,,,,4,,,,,,,39,49,,2/16/25,590425,,na,,,,,,,,,,,,,,,,,,,,"7/24/2017: 590417 updated, state rules unchanged..  9/8/16: added BOA Prof Conduct to Appendix.",,,,,,,,,
5955,595521,595524,Ethics for Accountants Wisconsin ,,,, exam 70% ,,3,,,,,,,35,,,1/1/24,New,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5956,595624,595625,Ethics for Accountants Georgia,,,,,,4,,,,,,,,,,12/6/24,"1 edit, key",,,,,,,,,,,,,,,,,,,,,,1/24/25: updated CCPE requirements per customer T Forbes. Check3ed with Board-said to use the Draft rule. Added missing review Q answwers.,,,,,,,,,
5958,595824,595825,Ethics for Accountants: Utah,,,, exam 70% ,,4,,,,,,,35,,,12/4/24,1 edit,,na,,,,,,,,,,,,,,,,,,,,"12/27/18: missing textbox on page 57 fixed associatd with Q 18 4/16-18: changes to Reg 156, non to 58.",,,,,,,,,
5959,,595924,A Back and Forth Discussion of CPA Ethics,,,, exam 70% ,,4,,,,,,,,,,2/26/24,New,,na,,,,,,,,,,,,,,,,,,,12/9/24: Checked spelling and grammar per customer complaint. Info sent to Allison. New PDF created with my changes.,,,,,,,,,,
5962,596224,596225,Accountant Ethics for Colorado 2025**,,, , exam 70% ,,4,,,,,,,35,,,12/24/24,No,,na,,,,,,,,,,,,,,,,,,,,"3/31/23: No repsponse to course submitted on 3/6, found that on webiste Board autmoatically extended course through 3/31/24. Check later re pending amendments. 3/6/2023: Updated Div 5 801-005-0010 Definitions per TEMPROARY amendment in prep ofr subm,ission for renewal.  Previous update 1/4/23.  2022 ed. approved 3/30/22. 10/3/2021: updated to effective 2021 for two rules: 001-005 and 001-035.   2021 ed launched 3 2021.2020 edition Not launched until May 21 2020 (forgot).9/21/16: used 595116 as template. Added one AICPA update: commissions and referral fees must now be in writing. 6/23/17-State approval received. Check when/iff renewal is required.  ",,,,,,,,,
5979,597924,597925,California Regulatory Review for CPAs-RRS-028-0119,,,Renews 1/31/27 2 Yrs, exam 90% ,,2,,,,,,,29,,,2/18/25,Same,,na,,,,,,,,,,,,,,,,,,,,3/9/23: remember to renew sponcorship every two years (next by 1/31/25)4/30/21 update to 2021 ed. Q 8 changed also.2017: Updated with 590417 edits thru 6/7/17. Used 594117 as template,,,,,,,,,
5914,11467,0011467,Ethics for Accountants Florida-0011467 ,,80%,Renews 6/30/27 2 Yrs, exam 80% ,,4,,,,,,,35,,,11/20/24,Copy,,na,,,,,,,,,,,,,,,,,,,,"5/21/25-Updated per Board request to use # 0011467 not 0011467-25. PDFs for approved version for 2025 thru 2027 added (no new version was created) 1/3/24: Changes 2023 copurse number from 0011467 (2024) to 0011467-24 due to 10 digit limit. 5/17/23: changed revision date to 4/27/23 but no changes were made to doc that was submitted for renewal. 4/12/23: Submitted for Renewal see Sponsorship Folder for files.2/23/23: changed course number from 11467 to 11467-23 to solve problem of same exam uaed for last years and 2-023 editions. See Bernice Sahai..Approved 6/16/21: Exam Q changes, reordered, etc. Approved early June 2019, launced on 6/18 with no note that it was approved for period beginning July 1 2019 thru June 30 2021.3/23/18: updated with 5904 changes and FL rule changes (minor)3/5/18: reworded Q 10, D. 12/31/17-q 18 correct answer C, not D. 6/22/17-Newly approved edition-used 11467-2017 number to keep old version exam active. 6/7/16: Updated with edits and rule changes",,,,,,,,,
6002,600223,600224,Tax Return Preparer Ethical Issues (Winn),,, ,,, ,2,2,,,,,25,37,,3/24/25,Edited,,na,FWKK0-E-00696-25-S,FWKK0-E-00696-25-S,, 2.6 ,,13016,11,20,,,,,,,,,,,,8/15/17: Updated with new title and 2017 update which was received in January. Minor exam edits Q 5 and 15.Paul Winn Version of Course.,,,,,,,,,
6003,600324,600325,Enrolled Agent Ethical Standards (Winn),,,Sales 2023:,,, ,2,2,,,,,25,37,,3/17/25,Edited,,na,FWKK0-E-00680-25-S,FWKK0-E-00680-25-S,,,,,,,,,,,,,,,,,,12/29/20-discovered 2020 edition never updated (alsthough online exam was in 2019 edition). Page 18 PTIN requirements updated 8/8/17 per author.,,,,,,,,,
7004,700424,700425,"Estate, Gift, and Generation-Skipping Transfer Tax",, F ," 1,248.0 ",,, 8.0 , 8.0 ,,,,,,65,83,,4/30/25,Yes,,na,FWKK0-T-00715-25-S,na,, 8.1 ,,51591,40,24,,,,,,,,,,,,"8/17/20: Page 17 $ amount corrected, Q 19 D edited.",,,,,,,,,
7005,700523,700525,Gift Taxes  ,, F , 540.0 ,,, 3.0 , 3.0 ,,,,,,35,37,,4/25/25,Yes,,na,FWKK0-T-00708-25-S,na,, 3.4 ,,22455,15,9,,,,,Tax,03,,,,,,6/24/22: corrected typo Q 14. 6/22/22 updated author corrections to review q. ,,,,,,,,,
7008,700823,700824*,Information Security Basic Safeguards  ,," F, PC "," 1,763.0 ",, 4.5 , 6.0 , 6.0 ,,,,,, 54 , 69 ,,3/29/24,No,,na,FWKK0-T-00621-24-S,na, 4.9 , 6.3 ,43924,40865,30,18,,,,,Tax,03,,,,,,"3/13/23-no changes from 2022 for text or exam. 3/30/21: Only seven changes to text, all grammar, no chgs to exam./",,,,,,,,,
7009,700923,700924*,Information Security: Networks,,, 280.0 ,,, 8.0 , 8.0 ,,,,,,65,83,,9/12/24,No,,na,FWKK0-T-00644-24-S,na,, 8.0 ,,50846,40,24,,,,,Tax,,,,,,,8/10/20: Q 37 rewritten as it was a duplicate of Q 35.,,,,,,,,,
7010,701023,701024**,Information Security: Malware ,,, 254.0 ,,, 6.0 , 6.0 ,,,,,, 54 , 69 ,,9/12/24,No,,na,FWKK0-T-00641-24-S,na,, 6.6 ,,43283,30,18,,,,,"info m, tax",, ,,,,,7/25/23 exam has two questions with All/Non of the above.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,"5/28/24: Major pricing changes to better reflect competetion, clean up inconsistincies, and increase print pricing margin over pdf price. See current pricing as entered in Admin: ""C:\Users\freed\Dropbox\BHFE\Course-Update-Data-Lists\Print Price Update Check List 5-17-24.xlsx"" and ""C:\Users\freed\Dropbox\BHFE\Marketing\Competition-Pricing\Acctg Tools-Other-5-4-24.xlsx""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,See individual author sheets for previous pricing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*,"No changes in Info Security courses for 2025, therefore no new versions created.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,**,No 2025 edition received as of 4/25/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*Two of the required 40 hours of CPE must be in ethics for each annual reporting period. Effective with calendar year 2022, the Board ceased requiring a specific South Carolina ethics course. Licensees may fulfill the annual two-hour requirement with any behavioral or regulatory ethics course(s) that meet(s) the requirements of S.C. Code Ann. Regs. 1-08 (2023).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"**FOUR HOURS OF CPE MUST BE IN ETHICS, of which two (2) hours may be in Colorado Rules and Regulation (CR&R). For the purpose of CPE, Behavioral Ethics will not be considered to be Personal Development.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,***(Oklahoma) A minimum of 4 hours of ethics must be earned in each rolling three-year period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
